Collision Id,Report Number,Report Version,Is Preliminary,NCIC Code,Crash Date Time,Crash Time Description,Beat,City Id,City Code,City Name,County Code,City Is Active,City Is Incorporated,Collision Type Code,Collision Type Description,Collision Type Other Desc,Day Of Week,DispatchNotified,HasPhotographs,HitRun,IsAttachmentsMailed,IsDeleted,IsHighwayRelated,IsTowAway,JudicialDistrict,MotorVehicleInvolvedWithCode,MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,NumberInjured,NumberKilled,Weather 1,Weather 2,Road Condition 1,Road Condition 2,Special Condition,LightingCode,LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,PedestrianActionCode,PedestrianActionDesc,PreparedDate,Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,PrimaryCollisionPartyNumber,PrimaryRoad,ReportingDistrict,ReportingDistrictCode,ReviewedDate,RoadwaySurfaceCode,SecondaryDirection,SecondaryDistance,SecondaryRoad,SecondaryUnitOfMeasure,SketchDesc,TrafficControlDeviceCode,CreatedDate,ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,IsAdditonalObjectStruck,NotificationDate,NotificationTimeDescription,HasDigitalMediaFiles,EvidenceNumber,IsLocationReferToNarrative,IsAOIOneSameAsLocation
4431005,240562173,2,False,3801,9/6/2024 5:50:00 PM,1750,3,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Friday,,,,,False,False,True,,D,MOTOR VEHICLE ON OTHER ROADWAY,,2,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,,,,A,21453A,,1,BRYANT ST,SOUTH,,,A,,,8TH ST,,,A,10/15/2024 6:45:24 AM,1/28/2025 11:41:51 AM,,,2,,,,,,,
4430208,240511415,3,False,3801,8/15/2024 2:49:00 PM,1449,4B103,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,True,,B,PEDESTRIAN,,0,1,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,C,CROSSING IN CROSS WALK - NOT AT INTERSECTION,,A,21950A,,1,DIAMOND ST,TRAFF,,,A,S,17,BOSWORTH ST,F,,A,10/14/2024 1:20:20 PM,1/28/2025 11:03:19 AM,,,2,,,,,,,
4430194,240549579,2,False,3801,9/1/2024 8:18:00 AM,0818,PARK,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Sunday,,,F,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,A,,1,HAIGHT ST,PARK,,,A,E,101,BELVEDERE ST,F,,A,10/14/2024 1:15:20 PM,1/28/2025 11:55:16 AM,,,2,,,,,,,
4429504,240572207,2,False,3801,9/11/2024 3:50:00 PM,1550,3D14D,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Wednesday,,,F,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,F,NOT IN ROAD,,A,21235G,,1,MISSION ST,MISSI,,,A,S,15,25TH ST,F,,D,10/14/2024 9:00:16 AM,1/28/2025 11:55:18 AM,,,2,,,,,,,
4429394,240579021,2,False,3801,9/14/2024 4:35:00 PM,1635,G2,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Saturday,,,,,False,False,True,,B,PEDESTRIAN,,1,0,CLOUDY,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,C,,,,GEARY BL,RICHM,,,A,E,133,MASONIC AV,F,,D,10/14/2024 8:20:15 AM,1/28/2025 11:50:50 AM,,,2,,,,,,,
4427485,240567888,3,False,3801,9/9/2024 5:00:00 PM,1700,3H13D,1227,3801,San Francisco,38,True,True,B,SIDE SWIPE,,Monday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,,,,A,DAYLIGHT,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,21955A,,1,EXCELSIOR AV,INGLE,,,A,E,116,LISBON ST,F,,D,10/11/2024 7:55:02 AM,7/18/2025 10:13:22 AM,,,2,,,,,,,
4427380,240573932,2,False,3801,9/12/2024 12:00:00 AM,2500,RICHMO,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,BUSH ST,RICHM,,,A,,,PRESIDIO AV,,,A,10/11/2024 7:00:01 AM,1/28/2025 11:41:49 AM,,,2,,,,,,,
4427370,240577348,2,False,3801,9/13/2024 6:29:00 PM,1829,4,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,C,CROSSING IN CROSS WALK - NOT AT INTERSECTION,,A,21703,,1,10TH ST,SOUTH,,,A,S,103,MISSION ST,F,,D,10/11/2024 6:55:01 AM,1/28/2025 11:41:49 AM,,,2,,,,,,,
4427363,240539815,2,False,3801,8/28/2024 11:53:00 AM,1153,3H12A,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,ALEMANY BL,INGLE,,,A,,,SICKES AVE,,,A,10/11/2024 6:50:01 AM,1/28/2025 11:55:20 AM,,,2,,,,,,,
4427340,240579281,2,False,3801,9/12/2024 8:30:00 PM,2030,3H,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,F,,False,False,False,,B,PEDESTRIAN,,1,0,OTHER,,OTHER* - OTHER*,,,,,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,BOSWORTH ST,INGLE,,,,,,LIPPARD AV,,,A,10/11/2024 6:40:01 AM,1/28/2025 11:55:16 AM,,,2,,,,,,,
