Year,CollisionId,Address,PrimaryRoad,SecondaryRoad,Latitude,Longitude,CrashDateTime
2021,2794987,PRESIDIO ST & CLAY ST,PRESIDIO ST,CLAY ST,,,6/6/2021 5:30:00 PM
2021,2794992,OCEAN AV & LAGUNITAS DR,OCEAN AV,LAGUNITAS DR,,,6/7/2021 11:00:00 AM
2021,2794997,THE EMBARCADERO SOUTH & BRANNAN ST,THE EMBARCADERO SOUTH,BRANNAN ST,,,6/25/2021 9:59:00 PM
2021,2795000,POST ST & POST ST 2355,POST ST,POST ST 2355,,,6/30/2021 7:00:00 AM
2021,2795078,34TH AV & CLEMENT ST,34TH AV,CLEMENT ST,,,6/13/2021 8:46:00 AM
2021,2795080,SLOAT BL & 45TH AV,SLOAT BL,45TH AV,,,6/11/2021 6:44:00 PM
2021,2795087,17TH ST & WISCONSIN ST,17TH ST,WISCONSIN ST,,,6/16/2021 7:21:00 AM
2021,2795093,BUCHANAN ST & NORTH POINT ST,BUCHANAN ST,NORTH POINT ST,,,6/7/2021 8:45:00 PM
2021,2796583,MISSION ST & 9TH ST,MISSION ST,9TH ST,,,7/14/2021 3:53:00 PM
2021,2796894,8TH ST & MINNA ST,8TH ST,MINNA ST,,,6/22/2021 6:35:00 PM
2021,2796895,24TH ST & HARRISON ST,24TH ST,HARRISON ST,,,6/22/2021 5:40:00 PM
2021,2796896,FOLSOM ST & 18TH ST,FOLSOM ST,18TH ST,,,6/22/2021 12:13:00 PM
2021,2796909,VALENCIA ST & DUBOCE AV,VALENCIA ST,DUBOCE AV,,,6/14/2021 4:03:00 PM
2021,2796982,MARKET ST & MARKET ST 945,MARKET ST,MARKET ST 945,,,7/20/2021 1:06:00 PM
2021,2801782,DOLORES ST & 20TH ST,DOLORES ST,20TH ST,,,9/18/2021 10:42:00 PM
2021,2804553,VAN NESS AV & HAYES ST,VAN NESS AV,HAYES ST,,,7/16/2021 3:14:00 PM
2021,2804746,EL CAMINO DEL MAR & 25TH AV,EL CAMINO DEL MAR,25TH AV,,,7/20/2021 6:33:00 PM
2021,2804748,18TH ST & OAKWOOD ST,18TH ST,OAKWOOD ST,,,7/20/2021 12:54:00 PM
2021,2804800,GOUGH ST & FULTON ST,GOUGH ST,FULTON ST,,,7/27/2021 2:11:00 PM
2021,2804801,SACRAMENTO ST & BUCHANAN ST,SACRAMENTO ST,BUCHANAN ST,,,7/26/2021 9:10:00 PM
2021,2804862,9TH ST & MISSION ST,9TH ST,MISSION ST,,,7/16/2021 9:29:00 PM
2021,2805079,4TH ST & CHINA BASEN,4TH ST,CHINA BASEN,,,7/8/2021 11:20:00 AM
2021,2806804,OAKDALE AV & SELBY ST,OAKDALE AV,SELBY ST,,,7/6/2021 6:30:00 PM
2021,2807066,KEARNY ST & JACKSON ST,KEARNY ST,JACKSON ST,,,7/13/2021 8:16:00 PM
2021,2807067,3RD ST & HOWARD ST,3RD ST,HOWARD ST,,,7/13/2021 8:01:00 PM
2021,2807069,14TH ST & MISSION ST,14TH ST,MISSION ST,,,7/12/2021 1:55:00 PM
2021,2807075,OAK ST & DIVISADERO ST,OAK ST,DIVISADERO ST,,,7/6/2021 6:55:00 PM
2021,2807091,15TH ST & DOLORES ST,15TH ST,DOLORES ST,,,7/2/2021 8:05:00 PM
2021,2807257,15TH ST & CASTRO ST,15TH ST,CASTRO ST,,,7/21/2021 6:26:00 PM
2021,2808288,JONES ST & MCALLISTER ST,JONES ST,MCALLISTER ST,,,7/21/2021 9:18:00 PM
